k,h,acuracia,distancia_centroides_q1_q2,indice_fisher_q1_q2,acuracia_logreg_q1_q2,entropia_q1_q2,entropia_condicional_q1_q2,angulo_vetores_classes_q1_q2,score_entropia_mais_inverso_angulo,razao_intra_interclasse_q1_q2,q1_eq_q2_proximos,comprimento_fronteira_logreg_q1_q2,mutual_information_q1_q2_y,desvio_projecao_centroide_q1_q2,diferenca_inclinacao_media_q1_q2,curvatura_fronteira_q1_q2,diferenca_skew_q1_q2,proporcao_baixa_margem_q1_q2,distancia_media_signed_q1_q2,media_cosseno_direcao_separacao_q1_q2,reversoes_fluxo_direcional_q1_q2,energia_repulsao_entre_classes_q1_q2,mudancas_classe_orbita_q1_q2,dominancia_media_anular_q1_q2,n_componentes_conexos_q1_q2,variancia_pca_q1_q2,mudancas_classe_espiral_q1_q2,desequilibrio_quadrantes_q1_q2,mudancas_angulo_classe_q1_q2,distancia_centros_gravitacionais_q1_q2,indice_silhueta_q1_q2,lda_separabilidade_q1_q2
1,1e-05,0.24210526315789474,22507.907903927775,6.3730382403298075e+28,1.0,0.0,0.0,90.0,0.0,0.0,0.0,18510.226245705024,1.3223918549868778,10882.40542619594,90.0,30,,0.0,2867.8793023457906,0.2548330404217925,0,3.362551507976369,0,1.0,2,1.0,0,0,0,22507.907903927746,1.0,506605918211686.4
1,1.3894954943731388e-05,0.35438596491228075,16198.618847686064,3.509030926762505e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,13321.544560564675,1.3223918549868778,7831.9112730232055,90.0,30,,0.0,2063.9716457948025,0.2548330404217926,0,4.672250161845534,0,1.0,2,0.9999999999999931,0,0,0,16198.618847686053,1.0,262395252572609.8
1,1.9306977288832537e-05,0.4175438596491228,11657.913907086046,7.081958145586273e+28,1.0,0.0,0.0,90.0,0.0,0.0,0.0,9587.324635382049,1.3223918549868778,5636.514335411008,90.0,30,,0.0,1485.410822959126,0.2548330404217925,0,6.492070532858323,0,1.0,2,0.9999999999999899,0,0,0,11657.91390708611,1.0,135906956665029.73
1,2.6826957952797274e-05,0.47192982456140353,8390.033616010805,8.679195218266312e+28,1.0,0.0,0.0,90.0,0.0,0.0,0.0,6899.86011603148,1.3223918549868778,4056.5186128609225,90.0,30,,0.0,1069.0288878045362,0.25483304042179244,0,9.020702724420644,0,1.0,2,1.0,0,0,0,8390.033616010749,1.0,70392664077791.23
1,3.7275937203149456e-05,0.5543859649122808,6038.1869894409665,7.801252259763956e+28,1.0,0.0,0.0,90.0,0.0,0.0,0.0,4965.729557411125,1.3223918549868778,2919.4183279385093,90.0,30,,0.0,769.36477457728,0.2548330404217926,0,12.534225733473749,0,1.0,2,0.99999999999999,0,0,0,6038.186989440978,1.0,36459702119454.13
1,5.1794746792312125e-05,0.5929824561403508,4345.596667202636,2.027046351018403e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,3573.7636064581948,1.3223918549868778,2101.0635441143254,90.0,30,,0.0,553.7008055750298,0.25483304042179256,0,17.416250069773405,0,1.0,2,0.9999999999999943,0,0,0,4345.596667202651,1.0,18884210394002.652
1,7.196856730011529e-05,0.6508771929824562,3127.463662027299,1.7389027130705558e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,2571.9852032043204,1.3223918549868778,1512.105330764102,90.0,30,,0.0,398.4905369015448,0.2548330404217924,0,24.199800783923212,0,1.0,2,1.0,0,0,0,3127.4636620272827,1.0,9781028957301.201
1,0.0001,0.7017543859649124,2250.790790392753,9.341452429295423e+28,1.0,0.0,0.0,90.0,0.0,0.0,0.0,1851.0150171924474,1.3223918549868778,1088.240542619593,90.0,30,,0.0,286.78793023457877,0.2548330404217924,0,33.62551373521579,0,1.0,2,0.9999999999999929,0,0,0,2250.7907903927685,1.0,5066059182116.833
1,0.0001389495494373139,0.736842105263158,1619.8618847686116,1.655942033432078e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,1332.1422958881042,1.323270589609022,783.1911273023211,90.0,30,2.0,0.0,206.39716457948043,0.25483304042179217,0,46.722499022539,0,1.0,2,1.0,0,0,0,1619.8618847686166,1.0,2623952525726.1187
1,0.00019306977288832537,0.7684210526315789,1165.7913907086133,7.202254420936067e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,958.7143697283972,1.3223918549868778,563.6514335411013,90.0,30,,0.0,148.54108229591273,0.2548330404217919,0,64.92070031665475,0,1.0,2,1.0,0,0,0,1165.7913907086067,1.0,1359069566650.3228
1,0.0002682695795279727,0.7912280701754386,839.0033616010745,7.199429720246393e+28,1.0,0.0,0.0,90.0,0.0,0.0,0.0,690.0695593244737,1.3223918549868778,405.6518612860918,90.0,30,,0.0,106.90288878045351,0.254833040421791,0,90.20701756768852,0,1.0,2,0.9999999999999926,0,0,0,839.0033616010811,1.0,703926640777.9034
1,0.00037275937203149455,0.8105263157894737,603.8186989441014,1.9555860084094913e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,554.349558628834,1.3223918549868778,291.9418327938509,90.0,34,,0.0,76.93647745772795,0.2548330404217898,0,125.34223865230557,0,1.0,2,1.0,0,0,0,603.8186989440966,1.0,364597021194.5473
1,0.0005179474679231213,0.8508771929824561,434.559666720266,1.6964818691600363e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,402.1259326708593,1.3223918549868778,210.1063544114325,90.0,35,,0.0,55.37008055750295,0.2548330404217868,0,174.16246462760833,0,1.0,2,1.0,0,0,0,434.5596667202652,1.0,188842103940.0287
1,0.0007196856730011528,0.8543859649122807,312.7463662027293,3.561272756368484e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,305.7628777396276,1.3223918549868778,151.2105330764103,90.0,37,,0.0,39.8490536901545,0.25483304042178145,0,241.99793819873358,0,1.0,2,0.9999999999999959,0,0,0,312.7463662027309,1.0,97810289573.01166
1,0.001,0.870175438596491,225.07907903927756,8.808254919848174e+28,1.0,0.0,0.0,90.0,0.0,0.0,0.0,214.43084805795215,1.3223918549868778,108.82405426195939,90.0,36,,0.0,28.6787930234579,0.254833040421771,0,336.2550028974157,0,1.0,2,1.0,0,0,0,225.07907903927733,1.0,50660591821.16936
1,0.001389495494373139,0.8789473684210526,161.98618847686072,2.4515440700229035e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,157.3150070302834,1.3223918549868778,78.31911273023209,90.0,36,,0.0,20.639716457948033,0.254833040421751,0,467.22473063398,0,1.0,2,0.9999999999999959,0,0,0,161.98618847686117,1.0,26239525257.261047
1,0.0019306977288832496,0.8807017543859649,116.57913907086159,3.9586979593662884e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,115.84778960423617,1.3223918549868778,56.365143354110224,90.0,37,,0.0,14.854108229591294,0.2548330404217124,0,649.2065019741372,0,1.0,2,1.0,0,0,0,116.57913907086103,1.0,13590695666.503288
1,0.002682695795279727,0.8859649122807018,83.90033616010783,8.201590337304766e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,83.56319957685554,1.3223918549868778,40.565186128609206,90.0,37,,0.0,10.690288878045358,0.25483304042163785,0,902.0692080261814,0,1.0,2,1.0,0,0,0,83.90033616010777,1.0,7039266407.779098
1,0.0037275937203149457,0.887719298245614,60.38186989441012,2.0962519628024865e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,58.63402512058239,1.3223918549868778,29.19418327938508,90.0,36,,0.0,7.693647745772796,0.2548330404214936,0,1253.4205182829992,0,1.0,2,1.0,0,0,0,60.38186989440975,1.0,3645970211.945472
1,0.005179474679231213,0.8894736842105264,43.45596667202658,1.0900993005825993e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,42.53259123492791,1.3223918549868778,21.010635441143265,90.0,37,,0.0,5.537008055750298,0.25483304042121524,0,1741.6210392718094,0,1.0,2,1.0,0,0,0,43.45596667202646,1.0,1888421039.4002848
1,0.007196856730011528,0.8894736842105264,31.274636620273064,9.632479201812168e+28,1.0,0.0,0.0,90.0,0.0,0.0,0.0,30.391304237216918,1.323270589609022,15.121053307641029,90.0,36,,0.0,3.9849053690154483,0.254833040420678,0,2419.972417959229,0,1.0,2,1.0,0,0,0,31.274636620273,1.0,978102895.730125
1,0.01,0.8894736842105264,22.50790790392767,2.4436807317360033e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,21.967076683988243,1.3223918549868778,10.882405426195938,90.0,37,,0.0,2.8678793023457896,0.25483304041964083,0,3362.536583559333,0,1.0,2,1.0,0,0,0,22.50790790392771,1.0,506605918.2116897
1,0.01389495494373139,0.8912280701754387,16.198618847686024,6.813303961915311e+28,1.0,0.0,0.0,90.0,0.0,0.0,0.0,15.848293936461626,1.3223918549868778,7.831911273023208,90.0,37,,0.0,2.063971645794803,0.25483304041763793,0,4672.22134735745,0,1.0,2,0.9999999999999872,0,0,0,16.19861884768615,1.0,262395252.57260892
1,0.019306977288832516,0.8912280701754387,11.657913907086098,2.6505005414095238e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,11.37095964326278,1.3223918549868778,5.636514335411017,90.0,37,,0.0,1.4854108229591285,0.25483304041377147,0,6492.014900925466,0,1.0,2,0.9999999999999932,0,0,0,11.65791390708611,1.0,135906956.66503143
1,0.026826957952797274,0.8912280701754387,8.390033616010784,4.8894960476644324e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,8.15414260127554,1.3223918549868778,4.05651861286092,90.0,36,,0.0,1.0690288878045355,0.25483304040630644,0,9020.595316333649,0,1.0,2,1.0,2,0,0,8.390033616010749,1.0,70392664.077791
